Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1601507832, 0, 4, 133.2, 0.0, 0.0, 0.0, 100.0, 57.5, 949028, 482100, 403808, 90996, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507833, 1, 4, 36.0, 3.0, 6.0, 20.8, 6.1, 57.5, 949028, 482556, 403348, 90532, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507834, 2, 4, 109.6, 2.0, 2.0, 100.0, 5.9, 57.6, 949028, 483612, 402292, 89476, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507835, 3, 4, 110.4, 1.0, 1.0, 100.0, 7.9, 57.6, 949028, 483320, 402584, 89768, 12.8, 102396, 13056, 89340, 0, 1, 0, 4, 0, 8
1601507836, 4, 4, 121.2, 6.9, 6.0, 100.0, 8.2, 57.6, 949028, 483652, 402252, 89436, 12.8, 102396, 13056, 89340, 2, 0, 12, 0, 5, 0
1601507837, 5, 4, 109.2, 2.0, 1.0, 100.0, 5.9, 57.6, 949028, 483636, 402268, 89440, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507838, 6, 4, 112.4, 3.0, 3.0, 100.0, 6.9, 57.6, 949028, 483568, 402336, 89508, 12.8, 102396, 13056, 89340, 0, 2, 0, 44, 0, 8
1601507839, 7, 4, 111.6, 3.0, 3.9, 100.0, 5.0, 57.6, 949028, 483576, 402324, 89484, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507840, 8, 4, 108.0, 1.0, 1.0, 100.0, 5.1, 57.6, 949028, 483660, 402240, 89400, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
1601507841, 9, 4, 109.2, 3.9, 0.0, 100.0, 5.0, 57.6, 949028, 483576, 402324, 89484, 12.8, 102396, 13056, 89340, 0, 0, 0, 0, 0, 0
