Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1601508736, 0, 4, 160.0, 50.0, 0.0, 100.0, 0.0, 54.4, 949028, 452872, 432996, 114312, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508737, 1, 4, 30.8, 6.9, 5.0, 0.0, 18.8, 54.5, 949028, 453712, 432176, 113512, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508738, 2, 4, 108.0, 5.1, 2.0, 0.0, 100.0, 54.5, 949028, 454196, 431692, 113028, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508739, 3, 4, 108.4, 7.0, 1.0, 0.0, 100.0, 54.5, 949028, 454148, 431740, 113076, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508740, 4, 4, 105.6, 5.1, 0.0, 0.0, 100.0, 54.6, 949028, 454988, 430900, 112236, 13.3, 102396, 13568, 88828, 0, 2, 0, 40, 0, 6
1601508741, 5, 4, 107.6, 5.0, 1.0, 1.0, 100.0, 54.6, 949028, 454896, 430992, 112320, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508742, 6, 4, 116.0, 8.9, 3.0, 5.0, 100.0, 54.6, 949028, 454944, 430944, 112272, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508743, 7, 4, 109.2, 6.1, 2.0, 1.0, 100.0, 54.6, 949028, 454896, 430992, 112320, 13.3, 102396, 13568, 88828, 0, 1, 0, 4, 0, 4
1601508744, 8, 4, 108.4, 7.0, 1.0, 0.0, 100.0, 54.6, 949028, 454928, 430960, 112288, 13.3, 102396, 13568, 88828, 0, 1, 0, 4, 0, 3
1601508745, 9, 4, 107.2, 5.1, 1.0, 0.0, 100.0, 54.6, 949028, 454912, 430976, 112304, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508746, 10, 4, 108.0, 5.1, 2.0, 0.0, 100.0, 54.6, 949028, 454728, 431160, 112488, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508747, 11, 4, 108.8, 6.0, 2.0, 1.0, 100.0, 54.6, 949028, 454636, 431252, 112580, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508748, 12, 4, 108.0, 3.1, 3.0, 1.0, 100.0, 54.6, 949028, 454668, 431220, 112548, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508749, 13, 4, 106.8, 5.0, 1.0, 0.0, 100.0, 54.6, 949028, 455132, 430756, 112076, 13.3, 102396, 13568, 88828, 0, 2, 0, 40, 0, 9
1601508750, 14, 4, 106.8, 5.1, 1.0, 0.0, 100.0, 54.6, 949028, 455180, 430708, 112028, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508751, 15, 4, 110.8, 5.1, 4.0, 1.0, 100.0, 54.6, 949028, 455132, 430756, 112076, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508752, 16, 4, 111.6, 6.1, 4.9, 1.0, 100.0, 54.6, 949028, 454964, 430924, 112244, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
