Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1601518806, 0, 4, 133.2, 0.0, 100.0, 0.0, 0.0, 63.2, 949028, 537328, 349068, 115000, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518807, 1, 4, 102.0, 2.0, 97.0, 0.0, 3.0, 64.2, 949028, 546632, 339860, 105692, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518808, 2, 4, 104.8, 1.0, 1.0, 99.0, 3.0, 64.2, 949028, 547136, 339356, 105188, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518809, 3, 4, 106.4, 1.0, 1.0, 100.0, 4.0, 64.3, 949028, 547388, 339104, 104936, 0.0, 102396, 0, 102396, 0, 18, 0, 80, 0, 348
1601518810, 4, 4, 107.2, 3.0, 1.0, 100.0, 3.1, 64.3, 949028, 547664, 338820, 104652, 0.0, 102396, 0, 102396, 0, 2, 0, 40, 0, 9
1601518811, 5, 4, 107.6, 2.0, 3.0, 100.0, 3.0, 64.3, 949028, 547632, 338860, 104684, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518812, 6, 4, 108.0, 2.0, 3.0, 100.0, 3.0, 64.3, 949028, 547632, 338860, 104684, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518813, 7, 4, 106.4, 1.0, 1.0, 100.0, 4.0, 64.3, 949028, 547632, 338860, 104684, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518814, 8, 4, 107.2, 3.0, 2.0, 100.0, 2.0, 64.3, 949028, 547448, 339044, 104868, 0.0, 102396, 0, 102396, 0, 1, 0, 4, 0, 3
1601518815, 9, 4, 106.4, 2.0, 2.0, 100.0, 2.0, 64.3, 949028, 547380, 339112, 104936, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518816, 10, 4, 105.6, 1.0, 2.0, 100.0, 2.0, 64.3, 949028, 547632, 338860, 104684, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518817, 11, 4, 106.8, 3.0, 2.0, 100.0, 2.0, 64.3, 949028, 547884, 338608, 104432, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518818, 12, 4, 106.8, 1.0, 1.0, 100.0, 4.0, 64.3, 949028, 547884, 338608, 104432, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518819, 13, 4, 105.6, 1.0, 1.0, 100.0, 3.0, 64.3, 949028, 547632, 338860, 104684, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518820, 14, 4, 107.2, 1.0, 2.9, 100.0, 3.0, 64.3, 949028, 547608, 338884, 104700, 0.0, 102396, 0, 102396, 0, 2, 0, 28, 0, 5
1601518821, 15, 4, 106.4, 0.0, 3.0, 100.0, 3.0, 64.5, 949028, 549656, 336836, 102652, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518822, 16, 4, 107.2, 2.0, 2.0, 100.0, 3.0, 64.5, 949028, 550004, 336488, 102304, 0.0, 102396, 0, 102396, 0, 0, 0, 0, 0, 0
1601518823, 17, 4, 110.8, 4.1, 2.0, 100.0, 4.1, 66.2, 949028, 566116, 320696, 96792, 0.3, 102396, 256, 102140, 0, 2, 0, 52, 0, 22
1601518824, 18, 4, 110.4, 4.1, 3.0, 100.0, 4.0, 66.1, 949028, 565072, 321920, 102464, 0.3, 102396, 256, 102140, 0, 3, 0, 56, 0, 22
1601518825, 19, 4, 108.8, 1.0, 2.0, 100.0, 5.1, 66.5, 949028, 568936, 318020, 100512, 0.5, 102396, 512, 101884, 0, 4, 0, 88, 0, 35
1601518826, 20, 4, 110.8, 4.1, 3.0, 100.0, 3.1, 66.2, 949028, 566468, 320832, 107292, 0.8, 102396, 768, 101628, 0, 1, 0, 96, 0, 13
